id,label,name,boost
trip:e013a120,Trip,İSTANBUL – KAPADOKYA – İZMİR TURU 23 TEMMUZ – 2 AĞUSTOS 2023,1.0
city:2609eaea,City,İstanbul,1.0
city:341c9da8,City,Kapadokya,1.0
city:abbbddb7,City,Kuşadası,1.0
city:63072c11,City,İzmir,1.0
city:682a1729,City,Şirince,1.0
city:fe6eb335,City,Efes,1.0
country:bb3db6b1,Country,Türkiye,1.0
activity:223fff80,Activity,Topkapı Sarayı,1.0
activity:40a62e79,Activity,Ayasofya,1.0
activity:63f4ae10,Activity,Yerebatan Sarnıcı,1.0
activity:77f73e20,Activity,Boğaz Turu,1.0
activity:c727b6e9,Activity,Karaköy,1.0
activity:c43a32f7,Activity,Balon Turu,1.0
activity:d28f758c,Activity,Soğanlı Vadisi,1.0
activity:5976ce2c,Activity,Keşlik Manastırı,1.0
activity:b0001045,Activity,Taşkınpaşa Medresesi,1.0
activity:aa8036ae,Activity,Selime Köyü,1.0
activity:65587759,Activity,Agzikarahan Kervansarayı,1.0
activity:6f8e0555,Activity,Ihlara Vadisi,1.0
activity:2a881245,Activity,Göreme Açık Hava Müzesi,1.0
activity:7eb3377f,Activity,Uçhisar,1.0
activity:e5c72caa,Activity,Kaymaklı Yeraltı Şehri,1.0
activity:2e9b3be9,Activity,Kızıl Vadi,1.0
activity:a525fccb,Activity,Efes Antik Kenti,1.0
activity:fae05571,Activity,Hadrian Tapınağı,1.0
activity:074dacfb,Activity,Odeon,1.0
activity:1d4de25b,Activity,Traian Çeşmesi,1.0
activity:2e77ca01,Activity,Şirince Köyü,1.0
restaurant:e56cf841,Restaurant,Il Cortile Ristorante Pizzeria,1.0
restaurant:c303ae53,Restaurant,Pandeli Restaurant,1.0
restaurant:16a04f19,Restaurant,Belisirma Nehir Kenarı Restoran,1.0
restaurant:673ca113,Restaurant,Geleneksel Türk Restoranı (Efes),1.0
trip:584b37ad,Trip,EDINBURGH & HIGHLANDS TURU 4 – 8 AĞUSTOS,1.0
city:01cdc81c,City,Edinburgh,1.0
city:d7b9f8f3,City,Pitlochry,1.0
city:5c2c5a8d,City,Fort William,1.0
city:b2404cee,City,Inverness,1.0
country:267d6b62,Country,İskoçya,1.0
hotel:9492d529,Hotel,Fonab Castle Hotel,1.0
hotel:8f8ebbb6,Hotel,The Craigellachie Hotel,1.0
hotel:6ecf704f,Hotel,Nevis Bank Inn,1.0
hotel:9c653e05,Hotel,Seasgair Hotel,1.0
activity:dbbb0cd8,Activity,Blair Castle,1.0
activity:fdf8c8ac,Activity,Ballindalloch Castle & Gardens,1.0
activity:711b9a68,Activity,Camera Obscura & World of Illusions,1.0
activity:f8731b2e,Activity,Loch Ness,1.0
activity:e7917b51,Activity,Inverness Kalesi,1.0
activity:3e919d4f,Activity,St. Andrews Katedrali,1.0
activity:ad4b167b,Activity,Inverness Müzesi ve Sanat Galerisi,1.0
activity:97b36204,Activity,Strathisla Distillery,1.0
restaurant:1a1f5e18,Restaurant,Nevis Bank Inn and Browns Restaurant,1.0
restaurant:8fc65e17,Restaurant,Rocpool Restaurant,1.0
trip:9cf97533,Trip,TAYLAND TURU 5 – 18 ŞUBAT,1.0
city:8e3fbec4,City,Chiang Mai,1.0
city:319e1ea2,City,Chiang Rai,1.0
hotel:027012ef,Hotel,The Surin,1.0
activity:1c78522b,Activity,Tapınaklar ve Şehir Gezisi,1.0
activity:198c0b38,Activity,Bo Sang Köyü,1.0
activity:b82464b7,Activity,Wat Chedi Luangis,1.0
activity:9483beea,Activity,Wat Suan Dok Tapınağı,1.0
activity:b1384d9e,Activity,Wat Phra That Doi Suthep,1.0
activity:27846d43,Activity,Wat Rong Khun,1.0
activity:2fd30f5d,Activity,Chiang Rai Gezisi,1.0
activity:f0d10751,Activity,Golden Triangle Gezisi,1.0
activity:a5f37da5,Activity,Mekong Nehri Tekne Gezisi,1.0
activity:693933dc,Activity,Bangkok Şehir Gezisi,1.0
activity:baf63dd1,Activity,Büyük Saray,1.0
activity:b15dbae6,Activity,Wat Phra Kaew,1.0
activity:14655908,Activity,Wat Pho Tapınağı,1.0
activity:6ba5e0da,Activity,Wat Ratchabophit,1.0
activity:0238a802,Activity,Bangkok Kanalları Gezisi,1.0
activity:3c3cc140,Activity,Chatuchak Weekend Market,1.0
restaurant:65cc3e7a,Restaurant,Beach Restaurant (The Surin),1.0
restaurant:3ec20ca8,Restaurant,Potong Restaurant,1.0
restaurant:c3bf4d99,Restaurant,Clara Restaurant,1.0
restaurant:1145698c,Restaurant,Kalido,1.0
restaurant:71337f99,Restaurant,Carpe Diem Beach Club,1.0
restaurant:af40d435,Restaurant,Terrace Rim Naam,1.0
trip:1e1baac2,Trip,JAPONYA TURU 6 – 13 NİSAN 2024 (SAFFET EMRE),1.0
city:d4be856c,City,Hakone,1.0
city:bb8b20c9,City,Nara,1.0
hotel:c406c31a,Hotel,Mitsui Garden Hotel,1.0
hotel:ff44a86c,Hotel,Benesse House,1.0
activity:4e64e0d2,Activity,Shinjuku Gyoen Park,1.0
activity:9e0eacda,Activity,Senso-ji Tapınağı,1.0
activity:e662924d,Activity,Nakamise Alışveriş Caddesi,1.0
activity:cfc5a6db,Activity,Meiji Shrine,1.0
activity:3bac2586,Activity,Takeshita Street,1.0
activity:6a815a8b,Activity,Omotesando,1.0
activity:7a170f3f,Activity,TeamLab Planets,1.0
activity:bfc34f9e,Activity,Ginza,1.0
activity:e09cb891,Activity,Hakone Açık Hava Müzesi,1.0
activity:8405994b,Activity,Picasso Pavilion,1.0
activity:3ffc366c,Activity,Hakone Teleferiği,1.0
activity:94dfcef6,Activity,Owakudani Vadisi,1.0
activity:297cecda,Activity,Ashinoko Tekne Gezisi,1.0
activity:906fe54d,Activity,Kiyomizu Tapınağı,1.0
activity:7cfe6053,Activity,Kinkaku-ji,1.0
activity:6d2d1bc2,Activity,Geisha & Maiko Gösterisi,1.0
activity:2b15ac43,Activity,Nara Park,1.0
activity:752820e3,Activity,Kasuga Taisha,1.0
activity:c69419b4,Activity,Tenryu-ji Tapınağı,1.0
activity:4c704993,Activity,Monkey Park Iwatayama,1.0
activity:a0728eac,Activity,Teshima Yokoo Evi,1.0
trip:929d059d,Trip,ARLES TURU 03 – 06 EKİM,1.0
city:74b004fd,City,Arles,1.0
city:a76b712f,City,Avignon,1.0
city:22eb4ae9,City,Les Baux-de-Provence,1.0
city:a1690cad,City,L'Isle-sur-la-Sorgue,1.0
activity:e5b64203,Activity,LUMA Müzesi,1.0
activity:b848ace1,Activity,Van Gogh Müzesi,1.0
activity:c44d954b,Activity,Art Tour,1.0
activity:2be876c8,Activity,Avignon Gezisi,1.0
activity:aa036175,Activity,Chateau Estoublon,1.0
activity:3cd675b4,Activity,Les Baux-de-Provence Gezisi,1.0
