id:ID,name,season,date_start,date_end,:LABEL
475,L'Isle-sur-la-Sorgue Gezisi,,,,Activity
476,Restaurant L'Oriel,,,,Restaurant
477,Café Tadoa Ando,,,,Restaurant
478,La Taula Gallici's Gourmet Restaurant,,,,Restaurant
479,PUGLIA TURU 07 – 11 EKİM,Sonbahar,2025-10-07,2025-10-11,Trip
480,Bari,,,,City
481,Alberobello,,,,City
482,Matera,,,,City
483,Monopoli,,,,City
484,Polignano a Mare,,,,City
485,Lecce,,,,City
486,Alberobello Trulli Evleri,,,,Activity
487,Matera Gezisi,,,,Activity
488,Monopoli Gezisi,,,,Activity
489,Polignano a Mare Gezisi,,,,Activity
490,Lecce Şehir Gezisi,,,,Activity
491,Santa Croce Bazilikası,,,,Activity
492,San Giuseppe Kilisesi,,,,Activity
493,Palazzo dei Celestini,,,,Activity
494,Sant'Oronzo Meydanı,,,,Activity
495,Antik Roma Amfitiyatrosu,,,,Activity
496,Bari Şehir Gezisi,,,,Activity
497,Saint Nicholas Bazilikası,,,,Activity
498,San Sabino Katedrali,,,,Activity
499,Hohenstaufen Kalesi,,,,Activity
500,Old Town,,,,Activity
501,Strada delle Orecchiette,,,,Activity
502,Canne Bianche Lifestyle & Hotel,,,,Hotel
503,PROVENCE TURU 4 – 7 MAYIS,İlkbahar,2025-05-04,2025-05-07,Trip
504,Provence,,,,City
505,L’Isle-sur-la-Sorgue,,,,City
506,Roussillon,,,,City
507,Gordes,,,,City
508,Saint-Rémy-de-Provence,,,,City
509,Chateau La Coste Art Tour,,,,Activity
510,L’Isle-sur-la-Sorgue Gezisi,,,,Activity
511,Roussillon Gezisi,,,,Activity
512,Gordes Gezisi,,,,Activity
513,Saint-Rémy-de-Provence Gezisi,,,,Activity
514,Arles Gezisi,,,,Activity
515,Tadao Ando Café Restaurant,,,,Restaurant
516,Chateau d’Estoublon,,,,Restaurant
517,59. Venedik Bienali,,,,Trip
518,Peggy Guggenheim Müzesi,,,,Activity
519,Galleria dell’Accademia,,,,Activity
520,Palazzo Manfrin,,,,Activity
521,Giardini Bienali,,,,Activity
522,Trattoria Alla Madonna,,,,Restaurant
523,Dubai Programı,,,,Trip
524,Dubai,,,,City
525,Birleşik Arap Emirlikleri,,,,Country
526,Dubai Creek – Old Town,,,,Activity
527,Museum of the Future,,,,Activity
528,Dubai Mall,,,,Activity
529,Nobu Restaurant - Atlantis the Palm,,,,Restaurant
530,Atlantis The Royal,,,,Hotel
